epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,824.396,1.53054,1.01069,1.23784,0.88202,0.75,0.79312,0.3311,1.92356,1.34557,1.5719,0.00133616,0.00133616,0.00133616
100,827.225,1.42002,1.05258,1.22339,0.95309,0.75,0.81152,0.3082,2.05896,1.46404,1.64254,0.00132434,0.00132434,0.00132434
101,836.681,1.5277,0.96775,1.15185,0.79971,0.75,0.80248,0.29511,2.05423,1.45322,1.67602,0.00131247,0.00131247,0.00131247
102,854.928,1.43683,1.00463,1.29398,0.67269,0.75,0.72953,0.29015,2.13454,1.39244,1.76385,0.00130056,0.00130056,0.00130056
103,873.904,1.30733,1.02108,1.2186,0.81483,0.75,0.79446,0.28352,2.23171,1.38538,1.85087,0.00128859,0.00128859,0.00128859
104,880.269,1.33413,1.03699,1.23073,0.86734,0.75,0.80492,0.27209,2.36602,1.50792,2.02637,0.00127659,0.00127659,0.00127659
105,888.257,1.54873,0.94865,1.11179,0.86088,0.75,0.79685,0.31239,2.16305,1.32226,1.81367,0.00126454,0.00126454,0.00126454
106,898.238,1.44503,1.09332,1.27397,0.87681,0.75,0.82773,0.35319,1.91203,1.31469,1.62205,0.00125245,0.00125245,0.00125245
107,909.894,1.40827,0.98274,1.27624,0.69055,1,0.89374,0.31367,2.06465,1.32333,1.83353,0.00124032,0.00124032,0.00124032
108,912.122,1.48868,0.99083,1.11161,0.66152,1,0.83119,0.23765,2.16781,1.37894,1.89391,0.00122815,0.00122815,0.00122815
109,914.824,1.40017,1.03311,1.20657,0.76668,0.82227,0.79199,0.31394,1.98681,1.43893,1.71261,0.00121595,0.00121595,0.00121595
110,919.499,1.44175,1.02097,1.1869,0.89975,0.74814,0.76133,0.34066,1.92649,1.34337,1.64345,0.00120371,0.00120371,0.00120371
111,922.664,1.39138,1.08294,1.22057,0.87427,0.75,0.80344,0.34505,1.90026,1.27188,1.66753,0.00119144,0.00119144,0.00119144
112,925.099,1.42432,0.97469,1.14152,0.86236,0.75,0.80038,0.3125,2.05625,1.4088,1.79733,0.00117915,0.00117915,0.00117915
113,929.265,1.4656,1.06836,1.20644,0.86995,0.75,0.77099,0.26118,2.15373,1.3964,1.83563,0.00116682,0.00116682,0.00116682
114,932.741,1.32534,0.99556,1.20056,0.78472,0.75,0.65364,0.2657,2.19598,1.43115,1.84539,0.00115447,0.00115447,0.00115447
115,940.429,1.42693,1.20768,1.41323,0.97382,0.83333,0.91491,0.25456,2.24938,1.37891,1.89316,0.0011421,0.0011421,0.0011421
116,945.961,1.48047,1.12862,1.15608,0.66766,0.66667,0.65996,0.14568,2.50534,1.58869,2.11866,0.00112971,0.00112971,0.00112971
117,948.784,1.39873,1.05332,1.19219,0.50044,0.58444,0.53396,0.13506,2.49667,1.58259,2.14594,0.00111729,0.00111729,0.00111729
118,963.141,1.39993,1.08923,1.26776,0.8973,0.72974,0.78554,0.21871,2.19268,1.51954,1.86051,0.00110486,0.00110486,0.00110486
119,965.736,1.36812,1.05872,1.15671,0.86546,0.66667,0.71249,0.30658,1.95319,1.39516,1.61986,0.00109241,0.00109241,0.00109241
120,972.47,1.4345,1.18852,1.23872,0.88847,0.66416,0.69893,0.37981,1.83634,1.35542,1.54044,0.00107995,0.00107995,0.00107995
121,985.853,1.66984,1.31337,1.35468,0.96959,0.75,0.81134,0.38526,1.8764,1.28958,1.53655,0.00106748,0.00106748,0.00106748
122,991.652,1.41939,1.06184,1.12677,0.95124,0.75,0.86378,0.39061,1.91477,1.24194,1.56605,0.00105499,0.00105499,0.00105499
123,1005.1,1.3221,1.196,1.24902,0.89934,0.74503,0.80293,0.24249,2.15915,1.53873,1.83281,0.0010425,0.0010425,0.0010425
124,1016.03,1.5861,1.15025,1.26983,0.7137,0.66667,0.68301,0.21682,2.36777,1.5553,1.99217,0.00103,0.00103,0.00103
125,1031.85,1.32419,0.98794,1.18592,0.81801,0.74919,0.77917,0.25272,2.20441,1.42278,1.86747,0.0010175,0.0010175,0.0010175
126,1039.89,1.30879,0.92824,1.15363,0.81366,0.72929,0.77371,0.30275,1.93017,1.27056,1.62911,0.001005,0.001005,0.001005
127,1042.28,1.31814,0.99021,1.09957,0.90837,0.82673,0.90968,0.39842,1.80585,1.1392,1.54181,0.000992497,0.000992497,0.000992497
128,1053.45,1.40243,1.0874,1.23882,0.84454,0.90619,0.92118,0.36771,1.90182,1.18601,1.61985,0.000979996,0.000979996,0.000979996
129,1063.96,1.47382,1.02515,1.16394,0.79578,0.65085,0.78839,0.28332,2.15858,1.40963,1.83128,0.000967498,0.000967498,0.000967498
130,1077.05,1.34498,1.01075,1.15732,0.73353,0.68962,0.7814,0.2478,2.27403,1.46342,1.91131,0.000955007,0.000955007,0.000955007
131,1086.99,1.30446,0.99131,1.20338,0.89752,0.73141,0.77494,0.31279,2.06441,1.3227,1.71708,0.000942523,0.000942523,0.000942523
132,1094.11,1.36203,1.08793,1.20783,0.83819,0.66667,0.73384,0.31072,1.87771,1.26691,1.57487,0.00093005,0.00093005,0.00093005
133,1102.57,1.25129,0.89106,1.11254,0.89662,0.72462,0.8364,0.38738,1.79582,1.34269,1.52563,0.000917588,0.000917588,0.000917588
134,1105.61,1.28933,0.94227,1.073,0.90139,0.76278,0.91934,0.38108,1.89502,1.33084,1.60338,0.00090514,0.00090514,0.00090514
135,1120.01,1.2887,1.05311,1.26931,1,0.88154,0.95056,0.30655,2.06054,1.2751,1.75015,0.000892708,0.000892708,0.000892708
136,1131.83,1.42979,1.07143,1.22521,0.6854,0.75,0.74855,0.2218,2.36927,1.36111,2.04814,0.000880293,0.000880293,0.000880293
